,title,keyword,category,score,author,publisher,reviewnum
52,나의 첫 젠더 수업,다이어트 가사 노동 여성학 모성 남성학 여성 혐오,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['25', '44', '13', '0', '19']",김고연주 저자(글),창비,49.0
53,열 가지 당부,노동법 근로계약서 노동자 계약서 근로 경제학자,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 사회문제/복지 > 사회문제 > 인권문제']","['63', '0', '13', '0', '25']","하종강 , 이수정 , 김영민 , 하지현 , 류은숙 , 곽한영 , 임지선 , 정혜연 , 윤자영 , 신경아 저자(글)",창비,8.0
54,코끼리는 생각하지 마,투자 미국정치 추가 정치학 미국 결혼,['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치일반서'],"['41', '14', '23', '4', '18']",조지 레이코프 저자(글) · 유나영 번역 · 나익주 감수,와이즈베리,265.0
55,세계외교사,전쟁 일본 근대 체제 안정 정책,"['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 외교학', '국내도서 > 정치/사회 > 대학교재 > 정치학', '국내도서 > 대학교재 > 정치/사회/법 > 정치학']","['26', '9', '30', '0', '35']",김용구 저자(글),서울대학교출판문화원,26.0
56,지정학의 힘,국제정치 중국 국제관계 필요 상상 지도,"['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계', '국내도서 > 역사/문화 > 지리학 > 지리학의 이해']","['36', '16', '11', '7', '31']",김동기 저자(글),아카넷,58.0
57,"난민, 멈추기 위해 떠나는 사람들",중남미 이해 여정 관용 살길 인권,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 사회문제/복지 > 사회문제 > 인권문제']","['30', '10', '30', '10', '20']",하영식 저자(글),뜨인돌출판사,25.0
58,거대한 체스판,유럽 중국 체제 유일 지배 경쟁,['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계'],"['18', '36', '27', '9', '9']",즈비그뉴 브레진스키 저자(글) · 김명섭 번역,삼인,14.0
59,미국 외교의 거대한 환상,정치 중국 유럽 전쟁 정책 국가,['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계'],"['45', '14', '18', '5', '18']",존 J. 미어샤이머 저자(글) · 이춘근 번역,김앤김북스,24.0
60,환경과 생태 이야기,콘센트 플라스틱 당장 눈앞 음식물 쓰레기 폭설 소비,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 사회문제/복지 > 사회문제 > 환경문제']","['80', '0', '0', '0', '20']","(주)자연과생태 , 김규정 , 민정희 , 최원형 , 푸른아시아 사진",철수와영희,7.0
61,민주주의 공부,오늘날 위기 국민 사회학 문장 대통령,['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치비평'],"['38', '15', '15', '0', '31']",얀-베르너 뮐러 저자(글) · 권채령 번역,윌북,21.0
62,"인공지능 시대, 십대를 위한 미디어 수업",인공지능 리터 러시 콘텐츠 페이크 청소년정치사회,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 언론/신문/방송 > 언론이론 > 미디어론']","['100', '0', '0', '0', '0']",정재민 저자(글),사계절,5.0
63,"국제분쟁, 무엇이 문제일까?",미얀마 청소년교양 군부 팔레스타인 사망자 진압,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['22', '22', '22', '11', '22']",김미조 저자(글),동아엠앤비,20.0
64,인권연대의 청소년 인권 특강,페미니즘 성 평등 청소년정치사회 여성주의 인권감수성 여성 혐오,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['33', '33', '0', '0', '33']","김형수 , 김홍미리 , 오창익 , 박흥식 , 이문영 , 서민 저자(글)",철수와영희,4.0
65,관광객의 철학,네그리 도스토옙스키 글로벌리즘 헤겔 철학 분열 아렌트,"['국내도서 > 인문 > 철학 > 동양철학일반 > 일본철학', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학']","['33', '17', '33', '17', '0']",아즈마 히로키 저자(글) · 안천 번역,리시올,7.0
66,"대전환의 시대, 새로운 대한민국이 온다",정치 유럽 혁명 인도 평화 주목,['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 한국외교'],"['33', '7', '27', '7', '27']",김준형 저자(글),크레타,21.0
67,진보 재구성과 집권 전략,정치 상처 인사 확장 실패 참여,"['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치비평']","['25', '50', '0', '0', '25']",원희복 저자(글),썰물과밀물,6.0
68,리바이어던 2,시민법 정치 질서 대제사장 성례 주권자 유물론,"['국내도서 > 인문 > 인문학일반 > 인문학의이해', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학']","['50', '50', '0', '0', '0']",토머스 홉스 저자(글) · 진석용 번역,나남,2.0
69,죽음을 넘어 시대의 어둠을 넘어,역사 법률 한국근현대사 자료 광주민주화운동 참여,"['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치사', '국내도서 > 역사/문화 > 한국사 > 근현대사 > 군사정권과민주화운동']","['29', '11', '48', '0', '13']","광주민주화운동기념사업회 엮음 · 황석영 , 이재의 , 전용호 저자(글)",창비,82.0
70,독립정신,정치 조선 경제 대한민국 한국근현대정치 역사,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치사'],"['44', '9', '32', '3', '12']",박기봉 (교정) 감수 · 이승만 저자(글),비봉출판사,34.0
71,왈츠 이후,오늘날 서론 체제 발전 결론 민족,"['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계', '국내도서 > 정치/사회 > 대학교재 > 정치학', '국내도서 > 대학교재 > 정치/사회/법 > 정치학']","['0', '67', '33', '0', '0']",이근욱 저자(글),한울,3.0
72,박정희는 어떻게 경제강국 만들었나,원칙 정치 근대 한국현대사 혁명 한국정치,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반'],"['67', '33', '0', '0', '0']",오원철 저자(글),동서문화사,8.0
73,이승만 없었다면 대한민국 없다,일본 경제 정부 반대 근거 완전,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반'],"['55', '0', '36', '0', '9']",로버트 올리버 저자(글) · 박일영 번역,동서문화사,16.0
74,알튀세르의 정치철학 강의,정치 철학 강의 근대 고등 인간,['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학'],"['40', '20', '20', '0', '20']",루이 알튀세르 저자(글) · 진태원 번역,후마니타스,6.0
75,미국 정부와 정치 2,미래 특수 과거 마련 조건 수정,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 미국정치'],"['0', '75', '0', '0', '25']","미국정치연구회 , 이병재 저자(글)",오름,4.0
76,다가오는 유럽의 위기와 지정학,전쟁 오늘날 통합 유럽사 역사 금융위기,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 기타나라정치'],"['34', '23', '17', '0', '26']",조지 프리드먼 저자(글) · 홍지수 번역,김앤김북스,38.0
77,밀림의 귀환,경제 미국 성공 책임 유지 평화,['국내도서 > 정치/사회 > 정치/외교 > 외교/국제관계 > 국제정치/국제관계'],"['10', '10', '20', '0', '60']",로버트 케이건 저자(글) · 홍지수 번역,김앤김북스,12.0
78,플라톤전집 4,서양 철학 철인 정치학 서양 철학사 형이상학 국가론,"['국내도서 > 인문 > 인문고전총서 > 인문고전총서일반', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치철학']","['42', '20', '18', '2', '18']",플라톤 저자(글) · 천병희 번역,숲,59.0
79,세상을 바꾼 미디어,수상 내역 계산기 추천 도서 사이버 진흥 권장,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회', '국내도서 > 정치/사회 > 언론/신문/방송 > 언론이론 > 미디어론']","['40', '0', '40', '20', '0']",김경화 저자(글),다른,7.0
80,비통한 자들을 위한 정치학,정치 습관 오늘날 상처 정치에세이 고통,"['국내도서 > 정치/사회 > 사회학 > 사회사상 > 민주주의', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치일반서']","['47', '24', '21', '0', '8']",파커 J. 파머 저자(글) · 김찬호 번역,글항아리,49.0
81,생명관리정치의 탄생,무정부 상태 재판 청구 운위 사회 정책 자유방임 계보학,"['국내도서 > 인문 > 철학 > 서양철학자 > 미셀푸코', '국내도서 > 정치/사회 > 정치/외교 > 정치이론 > 정치이론/개론']","['25', '0', '50', '0', '25']","미셸 푸코 저자(글) · 심세광 , 전혜리 , 조성은 번역",난장,4.0
82,인정투쟁,상호 주관 상호 인정 소렐 호르크하이머 영국 경찰 봉기,"['국내도서 > 인문 > 철학 > 서양철학자 > 하버마스/프랑크푸르트학파', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 사회철학']","['27', '18', '36', '9', '9']","악셀 호네트 저자(글) · 문성훈 , 이현재 번역",사월의책,14.0
83,눈 떠보니 선진국,사회 경제 사회학 한국 경제발전 시스템,"['국내도서 > 정치/사회 > 사회학 > 사회학일반 > 시사/사회비평', '국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반', '국내도서 > 정치/사회 > 사회문제/복지 > 사회문제 > 사회문제일반']","['34', '21', '16', '6', '22']",박태웅 저자(글),한빛비즈,93.0
84,이재명의 나의 소년공 다이어리,사회 합격 신념 대학 기록 사람,"['국내도서 > 정치/사회 > 정치/외교 > 정치가', '국내도서 > 시/에세이 > 인물/자전적에세이 > 정치가/법조인']","['48', '29', '13', '6', '3']","이재명 , 조정미 저자(글)",팬덤북스,34.0
85,이상한 나라의 위험한 가짜뉴스,혐오 탈진실 정보 미디어리터러시 사이버 악의,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['0', '25', '0', '25', '50']",마우로 무나포 저자(글) · 김지우 번역 · 마르타 판탈레오 그림/만화,우리학교,4.0
86,인싸를 죽여라,정치 전쟁 차별 문화 이후 정체,['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치일반서'],"['0', '60', '0', '0', '40']",앤절라 네이글 저자(글) · 김내훈 번역,오월의봄,5.0
